CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/18/2016,14:30,BROOKLYN,11233,40.68377,-73.92625,"(40.68377, -73.92625)",PATCHEN AVENUE                  ,MACON STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,,,3444473,Sedan,4 dr sedan,4 dr sedan,,
05/18/2016,18:00,,,,,,CROSS ISLAND PARKWAY            ,FRANCIS LEWIS BOULEVARD,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3444551,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,16:10,BROOKLYN,11218,40.639786,-73.986435,"(40.639786, -73.986435)",,,1308      40 STREET                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3444893,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,20:00,BROOKLYN,11221,40.690823,-73.936615,"(40.690823, -73.936615)",LEWIS AVENUE                    ,VAN BUREN STREET,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unsafe Speed,,,,3450852,Pick-up Truck,4 dr sedan,,,
05/18/2016,13:45,BROOKLYN,11223,40.6048,-73.966805,"(40.6048, -73.966805)",AVENUE R                        ,OCEAN PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3449666,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,17:00,BRONX,10470,40.895374,-73.86356,"(40.895374, -73.86356)",WEBSTER AVENUE                  ,EAST 233 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3449260,4 dr sedan,Bus,,,
05/18/2016,15:15,,,40.675236,-73.97106,"(40.675236, -73.97106)",PLAZA STREET EAST               ,SAINT JOHNS PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3450706,4 dr sedan,4 dr sedan,,,
05/18/2016,8:13,BRONX,10463,40.879704,-73.909485,"(40.879704, -73.909485)",,,3000      TIBBETT AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453335,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,13:00,,,40.71906,-73.812126,"(40.71906, -73.812126)",UNION TURNPIKE                  ,150 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3446266,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,20:55,,,40.679073,-73.86329,"(40.679073, -73.86329)",LIBERTY AVENUE                  ,DREW STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3450505,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,22:34,BROOKLYN,11223,40.59465,-73.96723,"(40.59465, -73.96723)",EAST 4 STREET                   ,GRAVESEND NECK ROAD,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3449687,Sedan,,,,
05/18/2016,16:00,,,40.84528,-73.83453,"(40.84528, -73.83453)",WESTCHESTER AVENUE              ,MAYFLOWER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3449171,,,,,
05/18/2016,8:30,BROOKLYN,11221,40.694923,-73.915565,"(40.694923, -73.915565)",PALMETTO STREET                 ,WILSON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3444481,4 dr sedan,,,,
05/18/2016,15:30,BROOKLYN,11236,40.643017,-73.9141,"(40.643017, -73.9141)",,,516       EAST 86 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3444433,4 dr sedan,Pick-up Truck,,,
05/18/2016,13:50,,,40.7681,-73.90512,"(40.7681, -73.90512)",Grand Central Pkwy              ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3444597,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,21:03,MANHATTAN,10040,40.855556,-73.933205,"(40.855556, -73.933205)",,,4420      BROADWAY                      ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3445596,4 dr sedan,3-Door,,,
05/18/2016,14:30,,,40.70725,-73.958466,"(40.70725, -73.958466)",MARCY AVENUE                    ,DIVISION AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3451076,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/18/2016,15:45,MANHATTAN,10019,40.762234,-73.98987,"(40.762234, -73.98987)",9 AVENUE                        ,WEST 48 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3448169,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/18/2016,9:11,QUEENS,11355,40.752316,-73.8324,"(40.752316, -73.8324)",COLLEGE POINT BOULEVARD         ,AVERY AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3444191,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
